Album,Album URL,Artist,Featured Artists,Lyrics,Media,Rank,Release Date,Song Title,Song URL,Writers,Year
Loud,https://genius.com/albums/Rihanna/Loud,Rihanna,[],"[Intro: Ester Dean] Na-na-na, c'mon Na-na-na-na, c'mon Na-na-na, c'mon, c'mon, c'mon Na-na-na-na, c'mon Na-na-na, c'mon Na-na-na-na, c'mon Na-na-na, c'mon, c'mon, c'mon Na-na-na-na, c'mon  [Verse 1: Rihanna] Feels so good being bad (Oh-oh-oh-oh-oh) There's no way I'm turning back (Oh-oh-oh-oh-oh) Now the pain is my pleasure, 'cause nothing could measure (Oh-oh-oh-oh-oh-oh-oh) Love is great, love is fine (Oh-oh-oh-oh-oh) Out the box, outta line (Oh-oh-oh-oh-oh) The affliction of the feeling leaves me wanting more (Oh-oh-oh-oh-oh-oh-oh)  [Chorus: Rihanna] 'Cause I may be bad, but I'm perfectly good at it Sex in the air I don't care, I love the smell of it Sticks and stones may break my bones But chains and whips excite me 'Cause I may be bad, but I'm perfectly good at it Sex in the air I don't care, I love the smell of it Sticks and stones may break my bones But chains and whips excite me  [Post-Chorus: Rihanna & Ester Dean] Na-na-na, c'mon, c'mon, c'mon I like it, like it C'mon, c'mon, c'mon I like it, like it C'mon, c'mon, c'mon I like it, like it C'mon, c'mon, c'mon I like it, like it  [Verse 2: Rihanna] Love is great, love is fine (Oh-oh-oh-oh-oh) Out the box, outta line (Oh-oh-oh-oh-oh) The affliction of the feeling leaves me wanting more (Oh-oh-oh-oh-oh-oh-oh)  [Chorus: Rihanna] 'Cause I may be bad, but I'm perfectly good at it Sex in the air I don't care, I love the smell of it Sticks and stones may break my bones But chains and whips excite me  [Post-Chorus: Rihanna & Ester Dean] Na-na-na, c'mon, c'mon, c'mon I like it, like it C'mon, c'mon, c'mon I like it, like it C'mon, c'mon, c'mon I like it, like it C'mon, c'mon, c'mon I like it, like it  [Refrain: Rihanna] S-S-S and M-M-M S-S-S and M-M-M  [Bridge: Rihanna] Oh, I love the feeling you bring to me Oh, you turn me on It's exactly what I've been yearning for Give it to me strong And meet me in my boudoir Make my body say, ""Ah-ah-ah"" I like it, like it  [Chorus: Rihanna] 'Cause I may be bad, but I'm perfectly good at it Sex in the air I don't care, I love the smell of it Sticks and stones may break my bones But chains and whips excite me 'Cause I may be bad, but I'm perfectly good at it Sex in the air I don't care, I love the smell of it Sticks and stones may break my bones But chains and whips excite me  [Post-Chorus: Rihanna & Ester Dean] Na-na-na, c'mon, c'mon, c'mon I like it, like it C'mon, c'mon, c'mon I like it, like it C'mon, c'mon, c'mon I like it, like it C'mon, c'mon, c'mon I like it, like it  [Refrain: Rihanna] S-S-S and M-M-M S-S-S and M-M-M S-S-S and M-M-M S-S-S and M-M-M","[{'native_uri': 'spotify:track:2u02eLj96Atd6TBxkH9YvN', 'provider': 'spotify', 'type': 'audio', 'url': 'https://open.spotify.com/track/2u02eLj96Atd6TBxkH9YvN'}, {'provider': 'youtube', 'start': 0, 'type': 'video', 'url': 'http://www.youtube.com/watch?v=KdS6HFQ_LUc'}]",12,2011-01-21,S&M;,https://genius.com/Rihanna-s-m-lyrics,"[{'api_path': '/artists/7672', 'header_image_url': 'https://images.genius.com/4a755fe7d9a770197bdfc27cc3035439.600x600x1.png', 'id': 7672, 'image_url': 'https://images.genius.com/89cf3176e6c1ad8ac02eec3f1a8fccad.720x720x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Ester Dean', 'url': 'https://genius.com/artists/Ester-dean'}, {'api_path': '/artists/45125', 'header_image_url': 'https://images.genius.com/9d8846683f37b149127e630e44295316.296x296x1.jpg', 'id': 45125, 'image_url': 'https://images.genius.com/9d8846683f37b149127e630e44295316.296x296x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Sandy Vee', 'url': 'https://genius.com/artists/Sandy-vee'}, {'api_path': '/artists/27578', 'header_image_url': 'https://images.genius.com/cde817afd31cef5140dade9b1387eeac.1000x750x1.jpg', 'id': 27578, 'image_url': 'https://images.genius.com/cde817afd31cef5140dade9b1387eeac.1000x750x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'StarGate', 'url': 'https://genius.com/artists/Stargate'}]",2011.0
Vehicle,https://genius.com/albums/The-ides-of-march/Vehicle,Ides Of March,[],"{Intro}  [ Verse 1] Hey, well, I'm the friendly stranger in the black sedan Woncha hop inside my car I got pictures, I got candy, I'm a lovable man And I can take you to the nearest star  [Chorus ] I'm your vehicle, baby I can take you anywhere you wanna go I'm your vehicle woman By that I'm sure you know  I love ya (love ya) I need ya (need ya) I wants ya gots to have you child Great God in heaven, you know I love you (Oh you know I do)  [ Verse 2] Well, if you wants to be a movie star I canna take-a you to Hollywood But if you wanna stay just like you are You know, I think you really should  [Chorus ] I'm your vehicle, baby I can take you anywhere you wanna go I'm your vehicle woman By that I'm sure you know  I love ya (love ya) I need ya (need ya) I wants ya gots to have you child Great God in heaven, you know I love you (Oh you know I do)   {Instrumental}    [ Verse 1 reprise] Well I'm the friendly stranger in the black sedan Oh woncha hop inside my car I got pictures, candy, I'm a lovable man And I can take you to the nearest star  [Chorus ] I'm your vehicle, baby I can take you anywhere you wanna go I'm your vehicle woman By that I'm sure you know  I love ya (love ya) I need ya (need ya) I wants ya gots to have you child Great God in heaven, you know I love you (Oh you know I do)  I'm your vehicle, baby Y'know I love you (love ya) I Needs ya (need ya) I wantcha gots to have you child Great God in heaven you know I love you","[{'provider': 'youtube', 'start': 0, 'type': 'video', 'url': 'http://www.youtube.com/watch?v=bq95nZBbNHI'}]",85,1970-06-01,Vehicle,https://genius.com/The-ides-of-march-vehicle-lyrics,"[{'api_path': '/artists/190581', 'header_image_url': 'https://assets.genius.com/images/default_avatar_300.png?1582236495', 'id': 190581, 'image_url': 'https://assets.genius.com/images/default_avatar_300.png?1582236495', 'is_meme_verified': False, 'is_verified': False, 'name': 'Jim Peterik', 'url': 'https://genius.com/artists/Jim-peterik'}]",1970.0
Beauty Behind the Madness,https://genius.com/albums/The-weeknd/Beauty-behind-the-madness,Weeknd,[],"[Verse 1] All alone, she was livin' In a world without an end or beginnin' Baby girl was livin' life for the feelin' But I don't mind, I don't mind, oh And all the wrongs she committed She was numb and she was so co-dependent She was young and all she had was the city But I don't mind, I don't mind  [Pre-Chorus] And I know That she's capable of anything, it's riveting But when You wake up she's always gone, gone, gone, oh  [Chorus] In the night she hears him calling In the night she's dancin' to relieve the pain She'll never walk away I don't think you understand In the night when she comes crawlin' Dollar bills and tears keep fallin' down her face She'll never walk away I don't think you understand  [Verse 2] He sang a song when he did it He was cold and he was so unforgiving Now she dances to the song on the minute Yeah, all the time, all the time, oh It make her weak when she hear it And it got her on her knees like religion She was young and she was forced to be a woman Yeah, all the time, all the time  [Pre-Chorus] And I know That she's capable of anything, it's riveting But when You wake up she's always gone, gone, gone, oh  [Chorus] In the night she hears him calling In the night she's dancin' to relieve the pain She'll never walk away I don't think you understand In the night when she comes crawlin' Dollar bills and tears keep fallin' down her face She'll never walk away I don't think you understand  [Bridge] Oh baby I don't think you understand I don't think you understand I don't think you understand Oh no, no I don't think you understand  [Chorus] In the night she hears him calling In the night she's dancin' to relieve the pain She'll never walk away I don't think you understand In the night when she comes crawlin' Dollar bills and tears keep fallin' down her face She'll never walk away I don't think you understand","[{'provider': 'youtube', 'start': 51, 'type': 'video', 'url': 'http://www.youtube.com/watch?v=2iFa5We6zqw'}, {'native_uri': 'spotify:track:7fPHfBCyKE3aVCBjE4DAvl', 'provider': 'spotify', 'type': 'audio', 'url': 'https://open.spotify.com/track/7fPHfBCyKE3aVCBjE4DAvl'}]",61,2015-08-28,In The Night,https://genius.com/The-weeknd-in-the-night-lyrics,"[{'api_path': '/artists/2358', 'header_image_url': 'https://images.genius.com/9ad71da04a3c0a078aa1745a1e8bf25c.500x167x1.png', 'id': 2358, 'image_url': 'https://images.genius.com/6dddd0ef3b7f04df34e6bf95ca70975e.683x683x1.jpg', 'is_meme_verified': True, 'is_verified': True, 'name': 'The Weeknd', 'url': 'https://genius.com/artists/The-weeknd', 'iq': 481}, {'api_path': '/artists/1362', 'header_image_url': 'https://images.genius.com/52f9b42efc581d1a94cf877722fb0f95.1000x321x1.png', 'id': 1362, 'image_url': 'https://s3.amazonaws.com/filepicker-images-rapgenius/HorpSGA7Qqar8HM5ScIx_Belly1.jpg', 'is_meme_verified': False, 'is_verified': True, 'name': 'Belly', 'url': 'https://genius.com/artists/Belly', 'iq': 1990}, {'api_path': '/artists/151087', 'header_image_url': 'https://s3.amazonaws.com/filepicker-images-rapgenius/4FSa7HrUT7a3QUgQaMf3_A-281132-1240777661.jpeg.jpg', 'id': 151087, 'image_url': 'https://s3.amazonaws.com/filepicker-images-rapgenius/VDqQ9CscRImWeqfKQU3A_2206.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Ali Payami', 'url': 'https://genius.com/artists/Ali-payami'}, {'api_path': '/artists/346342', 'header_image_url': 'https://images.genius.com/c1d08d90d64802fae48aa681070a1e76.594x397x1.jpg', 'id': 346342, 'image_url': 'https://images.genius.com/5d2a8e5c53377bb4bb5e9547399fd704.396x396x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Peter Svensson', 'url': 'https://genius.com/artists/Peter-svensson'}, {'api_path': '/artists/179206', 'header_image_url': 'https://images.genius.com/4bc4f41a26a9ddccb4016b909f0c2ca0.438x344x1.jpg', 'id': 179206, 'image_url': 'https://images.genius.com/4bc4f41a26a9ddccb4016b909f0c2ca0.438x344x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Savan Kotecha', 'url': 'https://genius.com/artists/Savan-kotecha'}, {'api_path': '/artists/27835', 'header_image_url': 'https://images.genius.com/1a44589766aa9b30ba951b89a7f47704.1000x661x1.jpg', 'id': 27835, 'image_url': 'https://images.genius.com/b8bd39c64a70399b7ad33b97ae8e1729.905x905x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Max Martin', 'url': 'https://genius.com/artists/Max-martin'}]",2016.0
Layla and Other Assorted Love Songs,https://genius.com/albums/Derek-and-the-dominos/Layla-and-other-assorted-love-songs,Derek and The Dominos,[],"[Opening Instrumental Riff]  [Verse 1] What'll you do when you get lonely And nobody's waiting by your side You've been running and hiding much too long You know it's just your foolish pride  [Chorus] Layla, you've got me on my knees Layla, I'm begging, darling please Layla, darling won't you ease my worried mind  [Verse 2] I tried to give you consolation When your old man had let you down Like a fool, I fell in love with you Turned my whole world upside down  [Chorus] Layla, you've got me on my knees Layla, I'm begging, darling please Layla, darling won't you ease my worried mind  [Verse 3] Let's make the best of the situation Before I finally go insane Please don't say we'll never find a way And tell me all my love's in vain  [Chorus 2X] Layla, you've got me on my knees Layla, I'm begging, darling please Layla, darling won't you ease my worried mind  [Instrumental Outro]","[{'native_uri': 'spotify:track:2kkvB3RNRzwjFdGhaUA0tz', 'provider': 'spotify', 'type': 'audio', 'url': 'https://open.spotify.com/track/2kkvB3RNRzwjFdGhaUA0tz'}, {'provider': 'youtube', 'start': 0, 'type': 'video', 'url': 'http://www.youtube.com/watch?v=TngViNw2pOo'}]",60,1970-11-09,Layla,https://genius.com/Derek-and-the-dominos-layla-lyrics,"[{'api_path': '/artists/331437', 'header_image_url': 'https://images.genius.com/35727c80ecae7bfaad82522ebd53f8c3.600x600x1.jpg', 'id': 331437, 'image_url': 'https://images.genius.com/35727c80ecae7bfaad82522ebd53f8c3.600x600x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Jim Gordon', 'url': 'https://genius.com/artists/Jim-gordon'}, {'api_path': '/artists/19272', 'header_image_url': 'https://images.genius.com/9434009b4db9428368b67c913202bc8f.928x523x1.jpg', 'id': 19272, 'image_url': 'https://images.genius.com/92c857da231629de31b2384bb9747484.800x800x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Eric Clapton', 'url': 'https://genius.com/artists/Eric-clapton'}]",1972.0
Freedom,https://genius.com/albums/Akon/Freedom,Akon feat. Colby O'Donis and Kardinal Offishall,"[{'api_path': '/artists/936', 'header_image_url': 'https://images.genius.com/a92bc569c23c1d69e00fb5c3f64eb92e.550x365x1.jpg', 'id': 936, 'image_url': 'https://images.genius.com/bff1176ed6deb6d256cc9e04734b0136.365x365x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Kardinal Offishall', 'url': 'https://genius.com/artists/Kardinal-offishall'}, {'api_path': '/artists/3023', 'header_image_url': 'https://s3.amazonaws.com/rapgenius/colby-o-donis-wango-tango-2012-03.jpg', 'id': 3023, 'image_url': 'https://s3.amazonaws.com/rapgenius/colby-o-donis-wango-tango-2012-03.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Colby O’Donis', 'url': 'https://genius.com/artists/Colby-odonis'}]","[Verse 1: Akon] When I see you I run out of words, to say (ahh) I wouldn't leave you Cause you're that type of girl to make me stay (ahh) I see the guys tryin' to holla Girl, I don't wanna bother you Cause you're independent, and you got my attention Can I be yo' baby father? Girl, I just wanna show you That I love what you are doin' now  [Hook: Akon] I see you in the club, you gettin down, girl I wanna get with you, yeah I see you in the club, you showin thugs love I wanna get with you You're so beautiful, so damn beautiful Said you're so beautiful, so damn beautiful You're so beautiful, beautiful, beautiful, beautiful You're so beautiful, beautiful, beautiful, beautiful You're so beautiful  [Verse 2: Colby O'Donis] Like the clouds you drift me away Far away, yeah And like the sun you, brighten my day You brighten my day, yeah I never wanna see you cry, cry, cry And I never wanna tell a lie, lie, lie Said I never wanna see you cry, cry, cry And I never wanna tell a lie, lie, lie  [Hook: Akon] I see you in the club, you gettin down, girl I wanna get with you, yeah I see you in the club, you showin thugs love I wanna get with you You're so beautiful, so damn beautiful Said you're so beautiful, so damn beautiful You're so beautiful, beautiful, beautiful, beautiful You're so beautiful, beautiful, beautiful, beautiful You're so beautiful  [Verse 3: Kardinal Offishall] Kardinal told you (you) what is it, sky blue or yellow This fellow ain't that mellow if it ain't about you (you) Hourglass shape make the place go ""oooh"" Waistline makes my soldier salute I'm a brute (brute) high from ya high heel game High heels push up ya ass last name And you livin in the fast lane, eyes like an angel Goddess, watch my girl and how she hot dress Spotless, hotness bad to the bone Make me wanna bone, put me in a triple-X zone (zone) Lames don't know how to talk to you So let me walk, with you, hold my hand I'mma spend them grands but after you undress Not like a hooker, but more like a princess Queen, empress, president pull Any way ya goin' off cause you're beautiful, okay?  [Hook: Akon] I see you in the club, you gettin down, girl I wanna get with you, yeah I see you in the club, you showin thugs love I wanna get with you You're so beautiful, so damn beautiful Said you're so beautiful, so damn beautiful You're so beautiful, beautiful, beautiful, beautiful You're so beautiful, beautiful, beautiful, beautiful You're so beautiful","[{'provider': 'youtube', 'start': 0, 'type': 'video', 'url': 'http://www.youtube.com/watch?v=rSOzN0eihsE'}, {'native_uri': 'spotify:track:7rv0UuxMX7CpUUwEE1jVrd', 'provider': 'spotify', 'type': 'audio', 'url': 'https://open.spotify.com/track/7rv0UuxMX7CpUUwEE1jVrd'}]",54,2009-01-06,Beautiful,https://genius.com/Akon-beautiful-lyrics,"[{'api_path': '/artists/3023', 'header_image_url': 'https://s3.amazonaws.com/rapgenius/colby-o-donis-wango-tango-2012-03.jpg', 'id': 3023, 'image_url': 'https://s3.amazonaws.com/rapgenius/colby-o-donis-wango-tango-2012-03.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Colby O’Donis', 'url': 'https://genius.com/artists/Colby-odonis'}, {'api_path': '/artists/157', 'header_image_url': 'https://images.genius.com/609275205915adfdb2d9fbe81480c0be.475x376x1.jpg', 'id': 157, 'image_url': 'https://images.genius.com/b714c76ff85aee144b80660942cf2e22.1000x1000x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Akon', 'url': 'https://genius.com/artists/Akon'}, {'api_path': '/artists/936', 'header_image_url': 'https://images.genius.com/a92bc569c23c1d69e00fb5c3f64eb92e.550x365x1.jpg', 'id': 936, 'image_url': 'https://images.genius.com/bff1176ed6deb6d256cc9e04734b0136.365x365x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Kardinal Offishall', 'url': 'https://genius.com/artists/Kardinal-offishall'}]",2009.0
Keeps Gettin’ Better: A Decade of Hits,https://genius.com/albums/Christina-aguilera/Keeps-gettin-better-a-decade-of-hits,Christina Aguilera,[],"[Intro] Come on over, come on over baby Come on over, come on over baby (here we go) Come on over, come on over baby (that's right) (Yeah, yeah, yeah, yeah) Come on over, come on over baby  [Verse 1] Hey, boy, don't you know I've got something going on (ah, yeah, come on, come on) I've got an invitation, don't you keep me waiting all night long I know, you know So baby, don't Pretend you won't, keep me guessing if you You will or you won't Don't wanna play that game with you baby Listen to me...  [Chorus] All I want is you (come over here baby) All I want is you (you know you make me go crazy) All I want is you Now baby don't be shy, you better cross the line I'm gonna love you right Cause all I want is you  [Post-Chorus] Come on over (that's right), come on over baby Come on over, come on over baby  [Verse 2] I'm not just talking about your sexuality (your sexuality) But I can't help myself, when you put your hands on me (When you put your hands on me) Oooh, oh It's paradise (it's paradise), when you and I Get close, get tight One on one I wanna, go all, all night I wanna play that game with you baby Listen to me...  [Chorus] All I want is you (come over here baby) All I want is you (you know you make me go crazy, so crazy) All I want is you Now baby don't be shy, you better cross the line I'm gonna love you right Cause all I want is you  [Post-Chorus] Come on over, come on over baby Come on over, come on over  [Breakdown] Don't you wanna be the one tonight We could do exactly what you like Don't you wanna be just you and me? We could do what comes so naturally I got a thing for you Got my mind made up (yeah) And I'm serious, never been more, baby I'm sure that it's real (so sure) And it's right here, uh, come on  [B-Section] Come on, come on, come on, over Come on, come on, come on, over Come on, come on, come on, over Come on, come on, come on, over Come on, come on, come on, over Come on, come on, come on, over  [Bridge] You give me... What a girl feels, what a girl likes What a girl needs, what a girl wants All I, all I want is you Ooh baby  [Chorus] All I want is you (oh, you make me go crazy, oh, oh, woo) All I want is you Now baby don't be shy, you better cross the line I'm gonna love you right 'Cause all I want is you All I want is you  [Outro] Ohh, ohh, yeah All I want is you, you make me go crazy, you All I want is you Now baby don't be shy, you better cross the line I'm gonna love you right 'Cause all I want is you","[{'provider': 'youtube', 'start': 0, 'type': 'video', 'url': 'http://www.youtube.com/watch?v=0RQDIJ2CvbA'}]",38,2000-09-26,Come On Over Baby (All I Want Is You),https://genius.com/Christina-aguilera-come-on-over-baby-all-i-want-is-you-radio-version-lyrics,"[{'api_path': '/artists/687313', 'header_image_url': 'https://assets.genius.com/images/default_avatar_300.png?1582236495', 'id': 687313, 'image_url': 'https://assets.genius.com/images/default_avatar_300.png?1582236495', 'is_meme_verified': False, 'is_verified': False, 'name': 'Ray Cham', 'url': 'https://genius.com/artists/Ray-cham'}, {'api_path': '/artists/334205', 'header_image_url': 'https://images.genius.com/85dfbf25542d2abae99a930cd77b3e8a.426x426x1.png', 'id': 334205, 'image_url': 'https://images.genius.com/85dfbf25542d2abae99a930cd77b3e8a.426x426x1.png', 'is_meme_verified': False, 'is_verified': False, 'name': 'Guy Roche', 'url': 'https://genius.com/artists/Guy-roche'}, {'api_path': '/artists/467148', 'header_image_url': 'https://images.genius.com/7cf8a25979e6ddc39b6bd4b7e84e45d3.268x268x1.png', 'id': 467148, 'image_url': 'https://images.genius.com/7cf8a25979e6ddc39b6bd4b7e84e45d3.268x268x1.png', 'is_meme_verified': False, 'is_verified': False, 'name': 'Shelly Peiken', 'url': 'https://genius.com/artists/Shelly-peiken'}, {'api_path': '/artists/65917', 'header_image_url': 'https://images.genius.com/3b3e6a9606a37cbdcb068183225ab16e.452x452x1.jpg', 'id': 65917, 'image_url': 'https://images.genius.com/3b3e6a9606a37cbdcb068183225ab16e.452x452x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Eric Dawkins', 'url': 'https://genius.com/artists/Eric-dawkins'}, {'api_path': '/artists/1053535', 'header_image_url': 'https://s3.amazonaws.com/filepicker-images-rapgenius/i89crnkw1n', 'id': 1053535, 'image_url': 'https://s3.amazonaws.com/filepicker-images-rapgenius/i89crnkw1n', 'is_meme_verified': False, 'is_verified': False, 'name': 'Chaka Blackmon', 'url': 'https://genius.com/artists/Chaka-blackmon'}, {'api_path': '/artists/52385', 'header_image_url': 'https://images.genius.com/b3ec913ed4a6e6abe472fc1239efa073.350x200x1.jpg', 'id': 52385, 'image_url': 'https://images.genius.com/0ed98eeb3f32b5d53597dbfd223839c9.400x400x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Ron Fair', 'url': 'https://genius.com/artists/Ron-fair'}, {'api_path': '/artists/1211', 'header_image_url': 'https://images.genius.com/ff87ab372787493c01d52eb5f65e7c7f.900x595x1.jpg', 'id': 1211, 'image_url': 'https://images.genius.com/fd4d599dcdd25ac014a3951fd8061ec2.570x570x1.jpg', 'is_meme_verified': True, 'is_verified': True, 'name': 'Christina Aguilera', 'url': 'https://genius.com/artists/Christina-aguilera', 'iq': 460}, {'api_path': '/artists/1039451', 'header_image_url': 'https://images.genius.com/5d35deffc95bc18d2dcd3fb2e32c6bb6.246x246x1.png', 'id': 1039451, 'image_url': 'https://images.genius.com/5d35deffc95bc18d2dcd3fb2e32c6bb6.246x246x1.png', 'is_meme_verified': False, 'is_verified': False, 'name': 'Paul Rein', 'url': 'https://genius.com/artists/Paul-rein'}, {'api_path': '/artists/634803', 'header_image_url': 'https://images.genius.com/0b55f70e885b6c32012f1905af96ee4f.392x392x1.png', 'id': 634803, 'image_url': 'https://images.genius.com/0b55f70e885b6c32012f1905af96ee4f.392x392x1.png', 'is_meme_verified': False, 'is_verified': False, 'name': 'Johan Åberg', 'url': 'https://genius.com/artists/Johan-aberg'}]",2000.0
Natural Selection,https://genius.com/albums/Natural-selection/Natural-selection,Natural Selection,"[{'api_path': '/artists/332098', 'header_image_url': 'https://images.genius.com/bce880ab16874c636783f3c0b78dee40.922x922x1.jpg', 'id': 332098, 'image_url': 'https://images.genius.com/bce880ab16874c636783f3c0b78dee40.922x922x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Niki Haris', 'url': 'https://genius.com/artists/Niki-haris'}]",Oh yeah Whatcha gonna do for me Whatcha gonna do for my love Just can't Just can't get Just can't get enough Talk to me Hey I really love you Love you so so much Put my lady next to you To always feel your touch Every lttle thing you do Seems to turn me on Even when youre talking nasty to me Over the telephone Honey Ill stay up late for you And wait for your call Buzz me up at 5 AM And I dont mind at all Cuz Ill do anything for your loving Yes will Ill do anything But with a serious step are you qualified? Just can't Just can't get Just can't get enough Talk to me First thing in the morning Ill be at your door O tough All day long and All night strong Just can't get enough Honey if you let me start you up We can begin I play your game Everytime Baby won't you let me win Cuz Ill do anything for your loving Do anything for your loving or would you send me off like a third class lover Do anything for your loving til the break of dawn Do anything for your loving baby on Just can't Just can't get Just can't get enough Talk to me You got to know The way I feel Is for real Its everlasting Me what you need And Ill take heed And lead you in the right direction for affection See what Im saying I ain't playin Stop delayin girl And make me yor natural selection Ha ha ha ha Youre crazy I dont know about you But I think I like you Do anything for your lovin Could you find the time to make me yours? Take me out and rock the floors? GIve me every little bit of your loves what I said Make it smooth to the groove Like sandwich bread Well its you for me And me for you Theres not one thing I wouldn't do Hey Ill do most anything You and me were meant to swing Swing Do do dodo Just can't Just can't get Guess what Just can't get enough I want to be your baby Just can't Just can't get Just can't get enough,"[{'provider': 'youtube', 'start': 0, 'type': 'video', 'url': 'http://www.youtube.com/watch?v=LNl3fegO4Os'}]",32,,Do Anything,https://genius.com/Natural-selection-do-anything-lyrics,"[{'api_path': '/artists/348548', 'header_image_url': 'https://assets.genius.com/images/default_avatar_300.png?1582236495', 'id': 348548, 'image_url': 'https://assets.genius.com/images/default_avatar_300.png?1582236495', 'is_meme_verified': False, 'is_verified': False, 'name': 'Ingrid Chavez', 'url': 'https://genius.com/artists/Ingrid-chavez'}, {'api_path': '/artists/991576', 'header_image_url': 'https://assets.genius.com/images/default_avatar_300.png?1582236495', 'id': 991576, 'image_url': 'https://assets.genius.com/images/default_avatar_300.png?1582236495', 'is_meme_verified': False, 'is_verified': False, 'name': 'Frederick Thomas', 'url': 'https://genius.com/artists/Frederick-thomas'}, {'api_path': '/artists/991575', 'header_image_url': 'https://assets.genius.com/images/default_avatar_300.png?1582236495', 'id': 991575, 'image_url': 'https://assets.genius.com/images/default_avatar_300.png?1582236495', 'is_meme_verified': False, 'is_verified': False, 'name': 'Elliot Erickson', 'url': 'https://genius.com/artists/Elliot-erickson'}]",1991.0
Some Nights,https://genius.com/albums/Fun/Some-nights,fun.,[],"[Verse 1] Well I woke up to the sound of silence The cars were cutting like knives in a fist fight And I found you with a bottle of wine Your head in the curtains And heart like the fourth of July You swore and said We are not We are not shining stars This I know I never said we are Though I've never been through hell like that I've closed enough windows To know you can never look back  [Chorus] If you're lost and alone Or you're sinking like a stone Carry on May your past be the sound Of your feet upon the ground Carry on Carry on, carry on  [Verse 2] So I met up with some friends At the edge of the night At a bar off 75 And we talked and talked About how our parents will die All our neighbors and wives But I'd like to think I can cheat it all To make up for the times I've been cheated on And it's nice to know When I was left for dead I was found and now I don't roam these streets I am not the ghost you want of me  [Chorus] If you're lost and alone Or you're sinking like a stone Carry on May your past be the sound Of your feet upon the ground and Carry on  [Bridge] Woah My head is on fire But my legs are fine After all they are mine Lay your clothes down on the floor Close the door Hold the phone Show me how No one's ever gonna stop us now  [Guitar solo]  [Bridge 2] Cause we are We are shining stars We are invincible We are who we are On our darkest day When we're miles away So we'll come We will find our way home  [Chorus] If you're lost and alone Or you're sinking like a stone Carry on May your past be the sound Of your feet upon the ground and Carry on  [Outro] No one's ever gonna stop us now","[{'native_uri': 'spotify:track:7gpy7sfWPNuOKmUNs3XQYE', 'provider': 'spotify', 'type': 'audio', 'url': 'https://open.spotify.com/track/7gpy7sfWPNuOKmUNs3XQYE'}, {'attribution': 'fueled_by_ramen', 'provider': 'soundcloud', 'type': 'audio', 'url': 'https://soundcloud.com/fueled_by_ramen/fun-carry-on'}, {'provider': 'youtube', 'start': 0, 'type': 'video', 'url': 'http://www.youtube.com/watch?v=q7yCLn-O-Y0'}]",76,2012-10-23,Carry On,https://genius.com/Fun-carry-on-lyrics,"[{'api_path': '/artists/27434', 'header_image_url': 'https://images.genius.com/c8a8394c36c41ac9fe3e7edb431eef96.553x369x1.jpg', 'id': 27434, 'image_url': 'https://images.genius.com/1c5df467876ffc603f67612eec12a31c.358x358x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Jeff Bhasker', 'url': 'https://genius.com/artists/Jeff-bhasker'}, {'api_path': '/artists/623597', 'header_image_url': 'https://images.genius.com/8b6a27510e49348662ea568460660d07.216x250x1.jpg', 'id': 623597, 'image_url': 'https://images.genius.com/8b6a27510e49348662ea568460660d07.216x250x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Andrew Dost', 'url': 'https://genius.com/artists/Andrew-dost'}, {'api_path': '/artists/30424', 'header_image_url': 'https://images.genius.com/712ac623fa7e03e245ac154adc263f4f.640x425x1.jpg', 'id': 30424, 'image_url': 'https://images.genius.com/712ac623fa7e03e245ac154adc263f4f.640x425x1.jpg', 'is_meme_verified': False, 'is_verified': True, 'name': 'Nate Ruess', 'url': 'https://genius.com/artists/Nate-ruess', 'iq': 281}, {'api_path': '/artists/264329', 'header_image_url': 'https://images.genius.com/f58ad1376f44857968d5b2d76451e511.378x594x1.jpg', 'id': 264329, 'image_url': 'https://images.genius.com/f58ad1376f44857968d5b2d76451e511.378x594x1.jpg', 'is_meme_verified': True, 'is_verified': True, 'name': 'Jack Antonoff', 'url': 'https://genius.com/artists/Jack-antonoff', 'iq': 220}]",2013.0
