Album,Album URL,Artist,Featured Artists,Lyrics,Media,Rank,Release Date,Song Title,Song URL,Writers,Year
Battle of New Orleans,https://genius.com/albums/Johnny-horton/Battle-of-new-orleans,Johnny Horton,[],"[Verse 1] In 1814 we took a little trip Along with Colonel Jackson down the mighty Mississip We took a little bacon and we took a little beans And we caught the bloody British in a town near New Orleans  [Chorus] We fired our guns and the British kept a-comin' There wasn't nigh as many as there was a while ago We fired once more and they begin to runnin' On down the Mississippi to the Gulf of Mexico  [Verse 2] We looked down a river (Hut-two) And we see'd the British come (Three-four) And there must have been a hundred of'em (Hut-two) Beatin' on the drums (Three-four) They stepped so high (Hut-two) And they made their bugles ring (Three-four) We stood beside our cotton bales (Hut-two) And didn't say a thing (Two-three-four)  [Chorus] We fired our guns and the British kept a-comin' There wasn't nigh as many as there was a while ago We fired once more and they begin to runnin' On down the Mississippi to the Gulf of Mexico  [Verse 3] Old Hickory said we could take 'em by surprise (One-hut, two-three-four) If we didn't fire our muskets (One-hut, two-three-four) 'Till we looked 'em in the eye (One-hut, two-three-four) We held our fire (Hut, two-three-four) 'Till we see their faces well Then we opened up our squirrel guns And really gave 'em - well we  [Chorus] Fired our guns and the British kept a-comin' There wasn't nigh as many as there was a while ago We fired once more and they begin to runnin' On down the Mississippi to the Gulf of Mexico  [Verse 4] Yeah, they ran through the briars (One-hup-two) And they ran through the brambles (Hup-two-three-four) And they ran through the bushes (Hup-two) Where the rabbit couldn't go (Hup-two-three-four) They ran so fast (Hup-two) That the hounds couldn't catch 'em (One-two-three-four) On down the Mississippi to the Gulf of Mexico (One-two, hup-two-three-four)  [Verse 5] We fired our cannon 'til the barrel melted down So we grabbed an alligator and we fired another round We filled his head with cannon balls, and powdered his behind And when we touched the powder off the gator lost his mind  [Chorus] We fired our guns and the British kept a-comin' There wasn't nigh as many as there was a while ago We fired once more and they begin to runnin' On down the Mississippi to the Gulf of Mexico  [Verse 4] Yeah, they ran through the briars (Hup-one-two) And they ran through the brambles (One-two-three-four) And they ran through the bushes (Hup-two) Where the rabbit couldn't go (Hup-two-three-four) They ran so fast (Hup-two) That the hounds couldn't catch 'em (One-two-three-four) On down the Mississippi to the Gulf of Mexico","[{'native_uri': 'spotify:track:0dwpdcQkeZqpuoAPYD49N3', 'provider': 'spotify', 'type': 'audio', 'url': 'https://open.spotify.com/track/0dwpdcQkeZqpuoAPYD49N3'}, {'provider': 'youtube', 'start': 0, 'type': 'video', 'url': 'http://www.youtube.com/watch?v=VL7XS_8qgXM'}]",1,1959-04-01,The Battle Of New Orleans,https://genius.com/Johnny-horton-the-battle-of-new-orleans-lyrics,"[{'api_path': '/artists/561913', 'header_image_url': 'https://images.genius.com/641ca05661977b0309ebffc9507f2baf.202x202x1.jpg', 'id': 561913, 'image_url': 'https://images.genius.com/641ca05661977b0309ebffc9507f2baf.202x202x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Jimmy Driftwood', 'url': 'https://genius.com/artists/Jimmy-driftwood'}]",1959.0
That’s All,https://genius.com/albums/Bobby-darin/That-s-all,Bobby Darin,[],"Oh the shark, babe Has such teeth, dear And he shows them Pearly white Just a jackknife Has old Macheath, babe And he keeps it Out of sight  You know when that shark bites With his teeth, babe Scarlet billows Start to spread Fancy gloves, though Wears ol' Macheath, babe So there's never, never a trace of red  Now, on the side walk, ooh Sunday morning, uh huh Lies a body just oozing life. EEK! And someone's sneaking round the corner Could that someone be Mack the Knife?  There's a tugboat down by the river, don't you know Where a cement bag's just a drooping on down Oh that cement is just, it's there for the weight, dear Five'll get ya ten, ol' Mackie's back in town  Now did ya hear 'bout Louie Miller? He disappeared, babe After drawing out all his hard earned cash And now Macheath spends, just like a sailor Could it be, our boy's done something rash?  Now, Jenny Diver, Suky Tawdry Oh, Miss Lotte Lenya, and ol' Lucy Brown Oh the line forms on the right, babe Now that Mackie's back in town  I said, Jenny Diver, oh Suky Tawdry Look out, Miss Lotte Lenya, and ol' Lucy Brown Yes, that line forms on the right, babe Now that Mackie's back in town Look out ol' Mackie is back!","[{'native_uri': 'spotify:track:3E5ndyOfO6vFDEIE42HA8o', 'provider': 'spotify', 'type': 'audio', 'url': 'https://open.spotify.com/track/3E5ndyOfO6vFDEIE42HA8o'}]",2,,Mack The Knife,https://genius.com/Bobby-darin-mack-the-knife-lyrics,"[{'api_path': '/artists/218851', 'header_image_url': 'https://images.genius.com/1a258253a6a749ac2e8681bb4b0bc2a4.583x583x1.jpg', 'id': 218851, 'image_url': 'https://images.genius.com/1a258253a6a749ac2e8681bb4b0bc2a4.583x583x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Kurt Weill', 'url': 'https://genius.com/artists/Kurt-weill'}, {'api_path': '/artists/25770', 'header_image_url': 'https://s3.amazonaws.com/rapgenius/OdvpefO7RteCQb9nILmj_portrait.jpeg', 'id': 25770, 'image_url': 'https://s3.amazonaws.com/rapgenius/OdvpefO7RteCQb9nILmj_portrait.jpeg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Bertolt Brecht', 'url': 'https://genius.com/artists/Bertolt-brecht'}]",1959.0
“Mr Personality’s” 15 Big Hits,https://genius.com/albums/Lloyd-price/Mr-personality-s-15-big-hits,Lloyd Price,[],"Over and over I tried to prove my love to you Over and over What more can I do  Over and over My friend says I'm a fool But over and over I'll be a fool for you  Cause you got personality Walk (with personality) Talk (with personality) Smile (with personality) Charm (with personality) Love (with personality) And plus you've got A great big heart  So over and over Oh, I'll be a fool for you Now over and over What more can I do  Cause you got personality Walk (with personality) Talk (with personality) Smile (with personality) Charm (with personality) Love (with personality) And plus you've got A great big heart  So over and over Whoa, I'll be a fool for you Now over and over What more can I do  Over and over I said that I love you Over and over, honey Now it's the truth  Over and over They still say I'm a fool But over and over I'll be a fool for you  Cause you got personality Walk (with personality) Talk (with personality) Smile (with personality) Charm (with personality) Love (with personality) And plus you've got A great big heart  So over and over Whoa, I'll be a fool for you Now over and over What more can I do","[{'provider': 'youtube', 'start': 0, 'type': 'video', 'url': 'http://www.youtube.com/watch?v=6UvvpiKShBI'}]",3,,Personality,https://genius.com/Lloyd-price-personality-lyrics,"[{'api_path': '/artists/355804', 'header_image_url': 'https://images.genius.com/b50b0005a092385c7093522f985b6c6c.170x219x1.jpg', 'id': 355804, 'image_url': 'https://images.genius.com/b50b0005a092385c7093522f985b6c6c.170x219x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Lloyd Price', 'url': 'https://genius.com/artists/Lloyd-price'}, {'api_path': '/artists/1183790', 'header_image_url': 'https://assets.genius.com/images/default_avatar_300.png?1582151316', 'id': 1183790, 'image_url': 'https://assets.genius.com/images/default_avatar_300.png?1582151316', 'is_meme_verified': False, 'is_verified': False, 'name': 'Harold Logan', 'url': 'https://genius.com/artists/Harold-logan'}]",1959.0
The Greatest Hits Of Frankie Avalon,https://genius.com/albums/Frankie-avalon/The-greatest-hits-of-frankie-avalon,Frankie Avalon,[],"Hey, Venus! Oh, Venus!  Venus, if you will Please send a little girl for me to thrill A girl who wants my kisses and my arms A girl with all the charms of you  Venus, make her fair A lovely girl with sunlight in her hair And take the brightest stars up in the skies And place them in her eyes for me  Venus, goddess of love that you are Surely the things I ask Can't be too great a task  Venus, if you do I promise that I always will be true I'll give her all the love I have to give As long as we both shall live  Venus, goddess of love that you are Surely the things I ask Can't be too great a task  Venus, if you do I promise that I always will be true I'll give her all the love I have to give As long as we both shall live  Hey, Venus! Oh, Venus! Make my wish come true",[],4,,Venus,https://genius.com/Frankie-avalon-venus-lyrics,"[{'api_path': '/artists/1113175', 'header_image_url': 'https://assets.genius.com/images/default_avatar_300.png?1582151316', 'id': 1113175, 'image_url': 'https://assets.genius.com/images/default_avatar_300.png?1582151316', 'is_meme_verified': False, 'is_verified': False, 'name': 'Ed Marshall', 'url': 'https://genius.com/artists/Ed-marshall'}, {'api_path': '/artists/1097387', 'header_image_url': 'https://images.genius.com/56361f4ea95450bae857df019cecdb9a.130x130x1.jpg', 'id': 1097387, 'image_url': 'https://images.genius.com/56361f4ea95450bae857df019cecdb9a.130x130x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Peter de Angelis', 'url': 'https://genius.com/artists/Peter-de-angelis'}]",1959.0
Paul Anka Sings His Big 15,https://genius.com/albums/Paul-anka/Paul-anka-sings-his-big-15,Paul Anka,[],"I'm just a lonely boy Lonely and blue I'm all alone With nothin' to do  I've got everything You could think of But all I want Is someone to love  Someone, yes someone to love Someone to kiss Someone to hold At a moment like this  I'd like to hear Somebody say I'll give you my love Each night and day  I'm just a lonely boy Lonely and blue I'm all alone With nothin' to do  I've got everything You could think of But all I want Is someone to love  Somebody, somebody, somebody, please Send her to me I'll make her happy Just wait and see  I've prayed so hard To the heavens above That I might find Someone to love  I'm just a lonely boy Lonely and blue I'm all alone With nothin' to do  I've got everything",[],5,,Lonely Boy,https://genius.com/Paul-anka-lonely-boy-lyrics,[],1959.0
The Bobby Darin Story,https://genius.com/albums/Bobby-darin/The-bobby-darin-story,Bobby Darin,[],"[Verse 1] Every night I hope and pray A dream lover will come my way A girl to hold in my arms And know the magic of her charms  [Chorus 1] Cause I want (yeah-yeah, yeah) A girl (yeah-yeah, yeah) To call (yeah-yeah, yeah) My own (yeah-yeah, yeah) I want a dream lover So I don't have to dream alone  [Chorus 2] Dream lover, where are you With a love, oh, so true And the hand that I can hold To feel you near as I grow old  [Chorus 1] Cause I want (yeah-yeah, yeah) A girl (yeah-yeah, yeah) To call (yeah-yeah, yeah) My own (yeah-yeah, yeah) I want a dream lover So I don't have to dream alone  [Bridge] Someday, I don't know how I hope she'll hear my plea Some way, I don't know how She'll bring her love to me  [Chorus 2] Dream lover, until then I'll go to sleep and dream again That's the only thing to do Till all my lover's dreams come true  [Chorus 1] Cause I want (yeah-yeah, yeah) A girl (yeah-yeah, yeah) To call (yeah-yeah, yeah) My own (yeah-yeah, yeah) I want a dream lover So I don't have to dream alone  [Chorus 2] Dream lover, until then I'll go to sleep and dream again That's the only thing to do Till all my lover's dreams come true  [Chorus 1] Cause I want (yeah-yeah, yeah) A girl (yeah-yeah, yeah) To call (yeah-yeah, yeah) My own (yeah-yeah) I want a dream lover So I don't have to dream alone  [Outro] Please don't make me dream alone I beg you don't make me dream alone No, I don't wanna dream alone","[{'provider': 'youtube', 'start': 0, 'type': 'video', 'url': 'http://www.youtube.com/watch?v=wVHAQX5sSaU'}]",6,1959-03-05,Dream Lover,https://genius.com/Bobby-darin-dream-lover-lyrics,"[{'api_path': '/artists/115571', 'header_image_url': 'https://images.genius.com/ac53f6453e632d2d9ba7091e510de84b.860x860x1.jpg', 'id': 115571, 'image_url': 'https://images.genius.com/ac53f6453e632d2d9ba7091e510de84b.860x860x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Bobby Darin', 'url': 'https://genius.com/artists/Bobby-darin'}]",1959.0
Sweet Sounds By The Browns,https://genius.com/albums/The-browns/Sweet-sounds-by-the-browns,Browns,[],"There's a village, hidden deep in the valley Among the pine trees, half forlorn And there, on a sunny morning Little Jimmy Brown was born  All the chapel bells were ringing In the little valley town And the song that they were singing Was for baby Jimmy Brown  Then the little congregation Prayed for guidance from above ""Lead us not into temptation Bless this hour of meditation Guide him with eternal love.""  There's a village, hidden deep in the valley Beneath the mountains high above And there, twenty years thereafter Jimmy was to meet his love  All the chapel bells were ringing 'Twas a great day in his life Cause the song that they were singing Was for Jimmy and his wife  Then the little congregation Prayed for guidance from above ""Lead us not into temptation Bless, O Lord, this celebration May their lives be filled with love.""  From the village, hidden deep in the valley One rainy morning dark and gray A soul winged its way to Heaven Jimmy Brown had passed away  Just one lonely bell was ringing In the little valley town 'Twas farewell that it was singing To our dear old Jimmy Brown  And the little congregation Prayed for guidance from above ""Lead us not into temptation May his soul find the salvation Of thy great eternal love.""",[],7,,The Three Bells,https://genius.com/The-browns-the-three-bells-les-trois-cloches-lyrics,"[{'api_path': '/artists/1129526', 'header_image_url': 'https://assets.genius.com/images/default_avatar_300.png?1582151316', 'id': 1129526, 'image_url': 'https://assets.genius.com/images/default_avatar_300.png?1582151316', 'is_meme_verified': False, 'is_verified': False, 'name': 'Bert Reisfeld', 'url': 'https://genius.com/artists/Bert-reisfeld'}, {'api_path': '/artists/1961466', 'header_image_url': 'https://assets.genius.com/images/default_avatar_300.png?1582151316', 'id': 1961466, 'image_url': 'https://assets.genius.com/images/default_avatar_300.png?1582151316', 'is_meme_verified': False, 'is_verified': False, 'name': 'Jean Villard', 'url': 'https://genius.com/artists/Jean-villard'}]",1959.0
The Fleetwoods: Greatest Hits: Priceless Collection,https://genius.com/albums/The-fleetwoods/The-fleetwoods-greatest-hits-priceless-collection,Fleetwoods,[],"Doo dooby doo Dum dum, dum doo dum, dooby doo Dum dum, dum doo dum, dooby doo Dum dum, dum doo dum, dooby doo Dum dum, dum doo dum, dooby doo  (Come softly, darling) Dum dum, dum doo dum, dooby doo (Come softly, darling) Dum dum, dum doo dum, dooby doo (Come softly, darling) Dum dum, dum doo dum, dooby doo (Come softly, darling) Dum dum, dum doo dum, dooby doo  (Come softly, darling) Dum dum, dum doo dum, dooby doo (Come to me, stay) Dum dum, dum doo dum, dooby doo (You're my obsession) Dum dum, dum doo dum, dooby doo (Forever and a day) Dum dum, dum doo dum, dooby doo  I want, want you to know, dooby do I love, I love you so, doby do Please hold, hold me so tight, dooby do All through, all through the night, dooby do  (I speak softly, darling) Dum dum, dum doo dum, dooby doo (Hear what I say) Dum dum, dum doo dum, dooby doo (I love you always) Dum dum, dum doo dum, dooby doo (Always, always) Dum dum, dum doo dum, dooby doo  I've waited, waited so long, dooby do For your kisses and your love, dooby do Please come, come to me, dooby do From up, from up above, dooby do  (Come softly, darling) I want, want you to know, dooby do (Come softly, darling) I love, I love you so, dooby do (Come softly) I need, Ineed you so much, dooby do (Come softly) Want to feel your warm, warm touch, dooby do  Dum dum, dum doo dum, dooby doo Dum dum, dum doo dum, dooby doo Dum dum, dum doo dum, dooby doo Dum dum, dum doo dum, dooby doo  Dum dum, dum doo dum, dooby doo Dum dum, dum doo dum, dooby doo Dum dum, dum doo dum, dooby doo",[],8,,Come Softly To Me,https://genius.com/The-fleetwoods-come-softly-to-me-lyrics,"[{'api_path': '/artists/2079919', 'header_image_url': 'https://assets.genius.com/images/default_avatar_300.png?1582151316', 'id': 2079919, 'image_url': 'https://assets.genius.com/images/default_avatar_300.png?1582151316', 'is_meme_verified': False, 'is_verified': False, 'name': 'Gary Troxel', 'url': 'https://genius.com/artists/Gary-troxel'}, {'api_path': '/artists/2079918', 'header_image_url': 'https://assets.genius.com/images/default_avatar_300.png?1582151316', 'id': 2079918, 'image_url': 'https://assets.genius.com/images/default_avatar_300.png?1582151316', 'is_meme_verified': False, 'is_verified': False, 'name': 'Barbara Ellis', 'url': 'https://genius.com/artists/Barbara-ellis'}, {'api_path': '/artists/2079917', 'header_image_url': 'https://assets.genius.com/images/default_avatar_300.png?1582151316', 'id': 2079917, 'image_url': 'https://assets.genius.com/images/default_avatar_300.png?1582151316', 'is_meme_verified': False, 'is_verified': False, 'name': 'Gretchen Christopher', 'url': 'https://genius.com/artists/Gretchen-christopher'}]",1959.0
